Category,Standard_Name,UI_Name,Dose,Sys_Code,Min_Age,Prev_Code,Min_Interval,Type,Notes
B肝免疫,B型肝炎免疫球蛋白,B肝免球 (HBIG),1,HBIG-1,0,,,免疫球蛋白,母親為帶原者才需施打
B型肝炎,B型肝炎疫苗,B型肝炎 (rHepB),1,rHepB-1,0,,,不活化疫苗,
B型肝炎,B型肝炎疫苗,B型肝炎 (rHepB),2,rHepB-2,30,rHepB-1,28,不活化疫苗,
B型肝炎,B型肝炎遺傳工程疫苗,B型肝炎 (rHepB),3,rHepB-3,180,rHepB-2,60,不活化疫苗,
五合一,白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗,五合一 (5in1),1,5in1-1,60,,,不活化疫苗,
五合一,白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗,五合一 (5in1),2,5in1-2,120,5in1-1,56,不活化疫苗,
五合一,白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗,五合一 (5in1),3,5in1-3,180,5in1-2,56,不活化疫苗,
五合一,白喉破傷風非細胞性百日咳、b型嗜血桿菌及不活化小兒麻痺五合一疫苗,五合一 (5in1),4,5in1-4,540,5in1-3,180,不活化疫苗,
13價肺炎,13價結合型肺炎鏈球菌疫苗,13價肺炎 (13PCV),1,13PCV-1,60,,,不活化疫苗,
13價肺炎,13價結合型肺炎鏈球菌疫苗,13價肺炎 (13PCV),2,13PCV-2,120,13PCV-1,56,不活化疫苗,
13價肺炎,13價結合型肺炎鏈球菌疫苗,13價肺炎 (13PCV),3,13PCV-3,360,13PCV-2,56,不活化疫苗,可與麻疹腮腺炎德國麻疹混合疫苗、水痘疫苗同時施打
卡介苗,卡介苗,卡介苗 (BCG),1,BCG,150,,,活性減毒疫苗,"雖是活性減毒疫苗,但可與任何活性減毒疫苗同時接種或間隔 任何時間接種"
MMR,麻疹腮腺炎德國麻疹混合疫苗,MMR混合疫苗,1,MMR-1,360,,,活性減毒疫苗,
MMR,麻疹腮腺炎德國麻疹混合疫苗,MMR混合疫苗,2,MMR-2,1800,MMR-1,28,活性減毒疫苗,
水痘,水痘疫苗,水痘疫苗 (Var),1,Var-1,360,,,活性減毒疫苗,
日本腦炎,日本腦炎疫苗,日本腦炎 (JE),1,JE-1,450,,,活性減毒疫苗,第一劑與第二劑需間隔12個月
日本腦炎,日本腦炎疫苗,日本腦炎 (JE),2,JE-2,810,JE-1,365,活性減毒疫苗,第一劑與第二劑需間隔12個月
A型肝炎,A型肝炎疫苗,A型肝炎 (2HepA),1,2HepA-1,540,,,不活化疫苗,
A型肝炎,A型肝炎疫苗,A型肝炎 (2HepA),2,2HepA-2,810,2HepA-1,180,不活化疫苗,
四合一,白喉破傷風非細胞性百日咳及不活化小兒麻痺混合疫苗,四合一 (Tdap-IPV),1,Tdap-IPV,1800,,,不活化疫苗,
